start,end,name,capacity,place
2021-02-13T13:50,2022-03-18T23:34,Kedma,7,4010 Patata
2021-03-15T20:14,2022-04-22T21:54,Trio, The (Trio, Das),8,946 Victoria Way
2021-04-12T08:41,2022-07-19T20:27,Crazy Love,10,6 Spaight Hill
2021-10-07T13:28,2022-10-24T20:37,My Mom's New Boyfriend,87,259 Helena Terrace
2021-06-04T01:15,2022-04-11T13:06,Tom Segura: Completely Normal,5,42 Badeau Street
2021-03-11T20:28,2022-02-02T23:19,Wild Orchid,6,58688 Farwell Terrace
2021-04-17T18:54,2022-05-27T15:34,Strip-tease,7,28031 Heath Park
2021-06-22T00:30,2022-11-20T20:41,Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il),8,8 Dixon Court
2021-01-09T05:12,2022-07-17T21:14,Act of Valor,9,3811 Ohio Parkway
2021-11-04T13:27,2022-07-03T12:33,Pontypool,10,043 Canary Crossing
2021-12-03T00:37,2022-11-13T17:17,Time Machine, The,11,95946 Morrow Park
2021-06-12T08:43,2022-09-27T10:20,Snakes on a Plane,12,1 Dunning Trail
2021-05-23T15:11,2022-10-21T16:06,Watcher in the Woods, The,13,2395 Mallard Crossing
2021-02-11T20:38,2022-03-16T02:42,St. Ives,14,7 Merchant Place
2021-06-20T02:09,2022-06-22T13:33,Too Shy to Try (Je suis timide... mais je me soigne),15,62914 North Circle
2021-08-29T09:00,2022-05-24T20:43,Knock Off,16,0 Calypso Park
2021-06-22T23:57,2022-07-19T04:36,My Left Eye Sees Ghosts (Ngo joh aan gin diy gwai),17,85 Rutledge Avenue
2021-10-05T03:37,2022-12-05T23:34,Private Eyes, The,18,357 Oxford Alley
2021-01-12T10:17,2022-09-03T20:28,Mad Hot Ballroom,19,1 1st Plaza
2021-11-22T08:58,2022-06-23T12:21,ThÃƒÂ©rÃƒÂ¨se,20,2 Sachs Street
2021-04-18T04:18,2022-03-10T16:24,My FÃƒÂ¼hrer,21,8061 Muir Crossing
2021-12-23T03:03,2022-11-16T14:43,Angels and Insects,22,66 Debra Plaza
2021-08-06T19:53,2022-01-22T20:02,Classe amÃƒÂ©ricaine, La (a.k.a. Le grand dÃƒÂ©tournement),23,2634 Mayfield Center
2021-07-11T13:34,2022-11-24T08:17,Brother's War,24,7 Melrose Trail
